id,display_name,version_updated_on,new_external_id,old_external_id,diff_external_id
1661,Do up buttons,2024-07-12T20:33:16.578681Z,3b33f988-2c2b-4da2-9a00-be72887ef63b,MSF-AAAAAA000000000000002441,New External ID
1640,Injury of ureter intraoperative,2024-07-12T20:31:18.921514Z,8b2c0dee-532c-455c-8e6a-d56164dda834,MSF-AAAAAA000000000000002415,New External ID
1642,Initial assessment,2024-07-12T20:31:18.131743Z,e46a1f98-d5d0-403a-9606-617d431bfd89,MSF-AAAAAA000000000000002420,New External ID
1688,Urine,2024-07-12T20:31:17.305134Z,bef1eae5-134a-4d6a-bfcb-d60f3ab08590,MSF-AAAAAA000000000000002572,New External ID
1690,ECOG Performance Status Scale,2024-07-12T20:31:16.525102Z,e01fa314-6052-4828-b46a-ab479a9e8aa8,MSF-AAAAAA000000000000002575,New External ID
1695,Vital sign sequence number,2024-07-12T20:31:15.734338Z,28665ed6-36d5-421f-95f9-4b56622d0cff,MSF-AAAAAA000000000000002579,New External ID
1772,Neuroma,2024-07-12T20:31:14.832290Z,57cf2192-147e-4250-8126-c42fb53fa5c8,MSF-AAAAAA000000000000002710,New External ID
1796,FIM Lower limb,2024-07-12T20:31:14.071936Z,2515e0bb-b6b9-4e03-bd96-e5095e923d52,MSF-AAAAAA000000000000002800,New External ID
1643,Activity living tasks questionnaire score,2024-07-12T20:31:13.330117Z,46cf0bc2-49ce-4ff9-9e37-806d2c353b77,MSF-AAAAAA000000000000002422,New External ID
1644,Not performed,2024-07-12T20:31:12.635293Z,4c0b3a82-0b90-4d94-991f-21fae0e634ef,MSF-AAAAAA000000000000002424,New External ID
1645,Partially performed within 60 s,2024-07-12T20:31:11.935721Z,6da61cb7-da2e-4359-bd2f-79f6c566e02f,MSF-AAAAAA000000000000002425,New External ID
1646,"Completed within 60s, or less but with great difficulty or abnormal handgrip",2024-07-12T20:31:11.264803Z,439cd0aa-8cbb-4bb7-b837-b9e335f68a44,MSF-AAAAAA000000000000002426,New External ID
1647,"Completed within 40s, or less but with light difficulty or abnormal handgrip",2024-07-12T20:31:10.486280Z,5318acbc-3d6b-4df3-bf84-e2eb1be3d295,MSF-AAAAAA000000000000002427,New External ID
1648,Completed properly within 20s,2024-07-12T20:31:09.768941Z,964f6f92-0315-49ac-a390-20a0f8918cf7,MSF-AAAAAA000000000000002428,New External ID
1649,"Put key into Yale lock, turn 90 degree",2024-07-12T20:31:08.993843Z,e57b097f-0012-4f26-a0bc-5223050e99d7,MSF-AAAAAA000000000000002429,New External ID
1650,"Pick coins up from flat surface, put into purses mounted on wall",2024-07-12T20:31:08.333356Z,5290e133-fac3-4b57-8d05-48664c13f13c,MSF-AAAAAA000000000000002430,New External ID
1651,Pick up coins from purses,2024-07-12T20:31:07.639005Z,54804cfa-cdb9-4e13-aaa0-3313739b8e45,MSF-AAAAAA000000000000002431,New External ID
1652,Cut Play-Doh with knife and fork,2024-07-12T20:31:06.877004Z,5755e533-f65e-41e1-be27-e59a38324d5a,MSF-AAAAAA000000000000002432,New External ID
1653,"Fold paper, put into envelope",2024-07-12T20:31:05.982170Z,873b83a7-5126-4548-a4ff-475f6f442739,MSF-AAAAAA000000000000002433,New External ID
1654,Write with pen,2024-07-12T20:31:05.310828Z,f1d9d2c5-3e3e-434c-a014-c7af04864259,MSF-AAAAAA000000000000002434,New External ID
